iter,213, gw,24, gd,1243
iter,214, gw,21, gd,1280
iter,215, gw,41, gd,1239
iter,216, gw,30, gd,1267
iter,217, gw,49, gd,1270
iter,218, gw,46, gd,1249
iter,219, gw,40, gd,1277
iter,220, gw,21, gd,1246
iter,221, gw,37, gd,1269
iter,222, gw,23, gd,1259
iter,223, gw,24, gd,1236
iter,224, gw,22, gd,1268
iter,225, gw,24, gd,1232
iter,226, gw,24, gd,1209
iter,227, gw,26, gd,1246
iter,228, gw,25, gd,1205
iter,229, gw,24, gd,1223
iter,230, gw,21, gd,1249
iter,231, gw,27, gd,1255
iter,232, gw,25, gd,1232
iter,233, gw,25, gd,1199
iter,234, gw,22, gd,1241
iter,235, gw,23, gd,1213
iter,236, gw,21, gd,1244
iter,237, gw,23, gd,1224
iter,238, gw,21, gd,1176
iter,239, gw,25, gd,1221
iter,240, gw,37, gd,1227
iter,241, gw,21, gd,1211
iter,242, gw,25, gd,1194
iter,243, gw,42, gd,1184
iter,244, gw,42, gd,1195
iter,245, gw,32, gd,1234
iter,246, gw,21, gd,1182
iter,247, gw,23, gd,1218
iter,248, gw,27, gd,1182
iter,249, gw,30, gd,1191
iter,250, gw,26, gd,1180
iter,251, gw,34, gd,1208
iter,252, gw,25, gd,1203
iter,253, gw,23, gd,1215
iter,254, gw,21, gd,1180
iter,255, gw,21, gd,1207
iter,256, gw,31, gd,1231
iter,257, gw,23, gd,1194
iter,258, gw,24, gd,1186
iter,259, gw,29, gd,1221
iter,260, gw,42, gd,1175
iter,261, gw,26, gd,1232
iter,262, gw,23, gd,1212
iter,263, gw,26, gd,1193
iter,264, gw,25, gd,1187
iter,265, gw,22, gd,1229
iter,266, gw,23, gd,1207
iter,267, gw,22, gd,1202
iter,268, gw,25, gd,1198
iter,269, gw,34, gd,1187
iter,270, gw,26, gd,1229
iter,271, gw,25, gd,1213
iter,272, gw,38, gd,1226
iter,273, gw,31, gd,1204
iter,274, gw,22, gd,1190
iter,275, gw,27, gd,1176
iter,276, gw,29, gd,1199
iter,277, gw,42, gd,1189
iter,278, gw,28, gd,1181
iter,279, gw,28, gd,1211
iter,280, gw,25, gd,1204
iter,281, gw,31, gd,1165
iter,282, gw,29, gd,1163
iter,283, gw,42, gd,1157
iter,284, gw,24, gd,1165
iter,285, gw,26, gd,1167
iter,286, gw,26, gd,1174
iter,287, gw,24, gd,1155
iter,288, gw,25, gd,1168
iter,289, gw,26, gd,1190
iter,290, gw,63, gd,1212
iter,291, gw,41, gd,1172
iter,292, gw,37, gd,1160
iter,293, gw,35, gd,1148
iter,294, gw,40, gd,1180
iter,295, gw,28, gd,1175
iter,296, gw,61, gd,1202
iter,297, gw,37, gd,1174
iter,298, gw,49, gd,1176
iter,299, gw,33, gd,1182
iter,300, gw,23, gd,1179
iter,301, gw,46, gd,1173
iter,302, gw,26, gd,1200
iter,303, gw,22, gd,1164
iter,304, gw,25, gd,1182
iter,305, gw,26, gd,1135
iter,306, gw,26, gd,1201
iter,307, gw,23, gd,1177
iter,308, gw,23, gd,1136
iter,309, gw,27, gd,1161
iter,310, gw,24, gd,1164
iter,311, gw,33, gd,1192
iter,312, gw,26, gd,1175
iter,313, gw,21, gd,1158
iter,314, gw,21, gd,1182
iter,315, gw,30, gd,1180
iter,316, gw,23, gd,1189
iter,317, gw,31, gd,1157
iter,318, gw,25, gd,1173
iter,319, gw,30, gd,1172
iter,320, gw,26, gd,1156
iter,321, gw,28, gd,1170
iter,322, gw,27, gd,1149
iter,323, gw,21, gd,1192
iter,324, gw,36, gd,1158
iter,325, gw,31, gd,1128
iter,326, gw,52, gd,1177
iter,327, gw,23, gd,1130
iter,328, gw,24, gd,1192
iter,329, gw,22, gd,1182
iter,330, gw,29, gd,1142
iter,331, gw,21, gd,1178
iter,332, gw,25, gd,1186
iter,333, gw,23, gd,1146
iter,334, gw,23, gd,1155
iter,335, gw,26, gd,1154
iter,336, gw,25, gd,1160
iter,337, gw,25, gd,1165
iter,338, gw,27, gd,1158
iter,339, gw,25, gd,1158
iter,340, gw,38, gd,1156
iter,341, gw,25, gd,1136
iter,342, gw,46, gd,1146
iter,343, gw,25, gd,1154
iter,344, gw,26, gd,1144
iter,345, gw,28, gd,1166
iter,346, gw,22, gd,1140
iter,347, gw,31, gd,1145
iter,348, gw,26, gd,1149
iter,349, gw,38, gd,1165
iter,350, gw,33, gd,1135
iter,351, gw,35, gd,1140
iter,352, gw,28, gd,1156
iter,353, gw,49, gd,1126
iter,354, gw,35, gd,1149
iter,355, gw,38, gd,1122
iter,356, gw,40, gd,1113
iter,357, gw,28, gd,1153
iter,358, gw,24, gd,1125
iter,359, gw,47, gd,1138
iter,360, gw,24, gd,1140
iter,361, gw,25, gd,1122
iter,362, gw,24, gd,1132
iter,363, gw,26, gd,1138
iter,364, gw,23, gd,1130
iter,365, gw,28, gd,1160
iter,366, gw,29, gd,1142
iter,367, gw,23, gd,1119
iter,368, gw,22, gd,1143
iter,369, gw,24, gd,1127
iter,370, gw,22, gd,1108
iter,371, gw,54, gd,1124
iter,372, gw,31, gd,1150
iter,373, gw,24, gd,1122
iter,374, gw,21, gd,1149
iter,375, gw,26, gd,1125
iter,376, gw,22, gd,1141
iter,377, gw,21, gd,1131
iter,378, gw,40, gd,1106
iter,379, gw,23, gd,1135
iter,380, gw,30, gd,1114
iter,381, gw,40, gd,1109
iter,382, gw,30, gd,1107
iter,383, gw,22, gd,1111
iter,384, gw,22, gd,1130
iter,385, gw,23, gd,1123
iter,386, gw,23, gd,1152
iter,387, gw,39, gd,1106
iter,388, gw,25, gd,1130
iter,389, gw,78, gd,1102
iter,390, gw,36, gd,1133
iter,391, gw,41, gd,1108
iter,392, gw,32, gd,1104
iter,393, gw,36, gd,1115
iter,394, gw,25, gd,1116
iter,395, gw,31, gd,1117
iter,396, gw,27, gd,1147
iter,397, gw,21, gd,1096
iter,398, gw,24, gd,1120
iter,399, gw,27, gd,1112
iter,400, gw,25, gd,1111
iter,401, gw,21, gd,1100
iter,402, gw,21, gd,1137
iter,403, gw,22, gd,1134
iter,404, gw,24, gd,1118
iter,405, gw,29, gd,1095
iter,406, gw,21, gd,1121
iter,407, gw,27, gd,1095
iter,408, gw,25, gd,1107
iter,409, gw,24, gd,1115
iter,410, gw,21, gd,1096
iter,411, gw,21, gd,1115
iter,412, gw,29, gd,1108
iter,413, gw,21, gd,1097
iter,414, gw,22, gd,1091
iter,415, gw,25, gd,1091
iter,416, gw,27, gd,1119
iter,417, gw,23, gd,1105
iter,418, gw,21, gd,1111
iter,419, gw,21, gd,1129
iter,420, gw,35, gd,1076
iter,421, gw,49, gd,1124
iter,422, gw,28, gd,1103
iter,423, gw,33, gd,1096
iter,424, gw,32, gd,1118
iter,425, gw,26, gd,1092
iter,426, gw,27, gd,1099
iter,427, gw,29, gd,1087
iter,428, gw,22, gd,1130
iter,429, gw,23, gd,1105
iter,430, gw,23, gd,1093
iter,431, gw,28, gd,1097
iter,432, gw,23, gd,1112
iter,433, gw,23, gd,1087
iter,434, gw,21, gd,1134
iter,435, gw,26, gd,1078
iter,436, gw,21, gd,1072
