iter, 168, gw, 59, gd, 1505
iter, 169, gw, 51, gd, 1545
iter, 170, gw, 35, gd, 1508
iter, 171, gw, 69, gd, 1506
iter, 172, gw, 25, gd, 1528
iter, 173, gw, 28, gd, 1462
iter, 174, gw, 47, gd, 1490
iter, 175, gw, 37, gd, 1515
iter, 176, gw, 37, gd, 1492
iter, 177, gw, 46, gd, 1480
iter, 178, gw, 27, gd, 1487
iter, 179, gw, 25, gd, 1502
iter, 180, gw, 38, gd, 1485
iter, 181, gw, 25, gd, 1469
iter, 182, gw, 26, gd, 1505
iter, 183, gw, 21, gd, 1497
iter, 184, gw, 33, gd, 1489
iter, 185, gw, 59, gd, 1472
iter, 186, gw, 22, gd, 1529
iter, 187, gw, 55, gd, 1472
iter, 188, gw, 29, gd, 1511
iter, 189, gw, 36, gd, 1503
iter, 190, gw, 28, gd, 1521
iter, 191, gw, 23, gd, 1510
iter, 192, gw, 28, gd, 1526
iter, 193, gw, 30, gd, 1458
iter, 194, gw, 27, gd, 1491
iter, 195, gw, 56, gd, 1514
iter, 196, gw, 40, gd, 1521
iter, 197, gw, 21, gd, 1508
iter, 198, gw, 21, gd, 1485
iter, 199, gw, 23, gd, 1451
iter, 200, gw, 22, gd, 1524
iter, 201, gw, 31, gd, 1468
iter, 202, gw, 32, gd, 1519
iter, 203, gw, 21, gd, 1529
iter, 204, gw, 25, gd, 1510
iter, 205, gw, 30, gd, 1485
iter, 206, gw, 27, gd, 1515
iter, 207, gw, 25, gd, 1503
iter, 208, gw, 27, gd, 1493
iter, 209, gw, 40, gd, 1470
iter, 210, gw, 24, gd, 1489
iter, 211, gw, 26, gd, 1477
iter, 212, gw, 32, gd, 1484
iter, 213, gw, 23, gd, 1469
iter, 214, gw, 23, gd, 1479
iter, 215, gw, 22, gd, 1492
iter, 216, gw, 29, gd, 1482
iter, 217, gw, 21, gd, 1488
iter, 218, gw, 23, gd, 1500
iter, 219, gw, 127, gd, 1519
iter, 220, gw, 30, gd, 1454
iter, 221, gw, 39, gd, 1467
iter, 222, gw, 25, gd, 1478
iter, 223, gw, 55, gd, 1529
iter, 224, gw, 38, gd, 1471
iter, 225, gw, 63, gd, 1503
iter, 226, gw, 33, gd, 1437
iter, 227, gw, 38, gd, 1494
iter, 228, gw, 25, gd, 1538
iter, 229, gw, 25, gd, 1453
iter, 230, gw, 21, gd, 1480
iter, 231, gw, 31, gd, 1468
iter, 232, gw, 62, gd, 1508
iter, 233, gw, 27, gd, 1477
iter, 234, gw, 40, gd, 1466
iter, 235, gw, 60, gd, 1534
iter, 236, gw, 36, gd, 1559
iter, 237, gw, 52, gd, 1505
iter, 238, gw, 28, gd, 1453
iter, 239, gw, 30, gd, 1480
iter, 240, gw, 30, gd, 1506
iter, 241, gw, 25, gd, 1501
iter, 242, gw, 31, gd, 1500
iter, 243, gw, 31, gd, 1431
iter, 244, gw, 28, gd, 1419
iter, 245, gw, 27, gd, 1463
iter, 246, gw, 29, gd, 1494
iter, 247, gw, 33, gd, 1499
iter, 248, gw, 23, gd, 1465
iter, 249, gw, 27, gd, 1473
iter, 250, gw, 28, gd, 1476
iter, 251, gw, 29, gd, 1462
iter, 252, gw, 21, gd, 1521
iter, 253, gw, 23, gd, 1456
iter, 254, gw, 25, gd, 1449
iter, 255, gw, 25, gd, 1475
iter, 256, gw, 23, gd, 1508
iter, 257, gw, 22, gd, 1490
iter, 258, gw, 40, gd, 1447
iter, 259, gw, 21, gd, 1486
iter, 260, gw, 23, gd, 1465
iter, 261, gw, 22, gd, 1514
iter, 262, gw, 34, gd, 1462
iter, 263, gw, 33, gd, 1446
iter, 264, gw, 27, gd, 1479
iter, 265, gw, 24, gd, 1483
iter, 266, gw, 23, gd, 1459
iter, 267, gw, 24, gd, 1466
iter, 268, gw, 26, gd, 1450
iter, 269, gw, 23, gd, 1469
iter, 270, gw, 22, gd, 1499
iter, 271, gw, 27, gd, 1513
iter, 272, gw, 35, gd, 1465
iter, 273, gw, 23, gd, 1449
iter, 274, gw, 43, gd, 1438
iter, 275, gw, 21, gd, 1495
iter, 276, gw, 23, gd, 1510
